episode_id,step,cart_velocity,pole_angular_velocity,pole_angle,cart_position,motor_command,reward,done
5,6,0.07218842,-0.030926753,0.001714116,0.007385132,-0.13852107460000002,-0.009620909,0
5,7,0.071221456,-0.030297179,-9.134148e-05,0.0085721435,-0.15234450491200002,-0.009216012,0
5,8,0.070117034,-0.02975758,-0.001857763,0.009740722,-0.1662508722,-0.00893664,0
5,9,0.068870276,-0.029303927,-0.0035971778,0.0108885495,-0.18033310632,-0.008774191,0
5,10,0.06747552,-0.028930942,-0.005321142,0.012013184,-0.1946734448,-0.008721605,0
5,11,0.06592627,-0.028629865,-0.0070406613,0.013111939,-0.20933154122,-0.008771899,0
5,12,0.06421539,-0.028403249,-0.008766669,0.014182251,-0.22442293359999999,-0.008926537,0
5,13,0.062334403,-0.02824133,-0.010509586,0.015221192,-0.23999675839999998,-0.009181681,0
5,14,0.060274113,-0.028142283,-0.012279736,0.016225709,-0.2561409334,-0.009539774,0
5,15,0.058024123,-0.028107285,-0.014087536,0.01719275,-0.2729592634,-0.0100067,0
5,16,0.055572566,-0.028133348,-0.015943365,0.018119019,-0.290534371,-0.010587765,0
5,17,0.052906264,-0.028211221,-0.017857164,0.019000733,-0.3089134466,-0.011286447,0
5,18,0.050011106,-0.028348282,-0.019839495,0.019834228,-0.328232663,-0.012117681,0
5,19,0.046870854,-0.028537372,-0.021900706,0.020615356,-0.3485534964,-0.013090179,0
5,20,0.043468025,-0.028780395,-0.024051502,0.021339843,-0.3699860938,-0.014220123,0
5,21,0.039783165,-0.029073443,-0.026302624,0.02200293,-0.3926118806,-0.015522786,0
5,22,0.03579515,-0.029414648,-0.028665096,0.022599487,-0.4165251424,-0.017017316,0
5,23,0.031480916,-0.02980565,-0.031150369,0.023124145,-0.4418417186,-0.018728057,0
5,24,0.026815107,-0.030244684,-0.033770178,0.023571044,-0.4686630932,-0.02068075,0
5,25,0.021770127,-0.030730411,-0.036536634,0.023933837,-0.4970964146,-0.022905186,0
5,26,0.016315982,-0.031265803,-0.039462574,0.024205811,-0.5272772106000001,-0.025438348,0
5,27,0.010419749,-0.03184554,-0.042561036,0.024379516,-0.5593014384,-0.02831678,0
5,28,0.004046032,-0.032469437,-0.045845646,0.0244469,-0.5932962573999999,-0.031585634,0
5,29,-0.0028436112,-0.03314346,-0.0493309,0.024399536,-0.62942776,-0.035300616,0
5,30,-0.010291419,-0.033860683,-0.053031683,0.024228027,-0.6678012352,-0.039515834,0
5,31,-0.018342633,-0.034625117,-0.05696376,0.023922363,-0.708584929,-0.044300713,0
5,32,-0.027046623,-0.035433773,-0.061143436,0.023471558,-0.7519171634000001,-0.04972869,0
5,33,-0.03645661,-0.036290817,-0.065588094,0.022863891,-0.7979821686,-0.05588866,0
5,34,-0.04663057,-0.037197363,-0.07031597,0.02208667,-0.846956933,-0.06287898,0
5,35,-0.05763132,-0.03815458,-0.075346254,0.021126099,-0.8990276876000001,-0.0708112,0
5,36,-0.06952692,-0.0391656,-0.0806992,0.019967286,-0.95440048,-0.07981321,0
5,37,-0.081698485,-0.040483586,-0.08640946,0.018605592,-1.0,-0.090254635,0
5,38,-0.09387006,-0.04224276,-0.092519745,0.017041137,-1.0,-0.10247257,0
5,39,-0.106041625,-0.044470325,-0.09907526,0.015273804,-1.0,-0.116771884,0
5,40,-0.1182132,-0.04720718,-0.106124505,0.013303589,-1.0,-0.13352923,0
5,41,-0.13038477,-0.050495315,-0.1137194,0.011130493,-1.0,-0.15319443,0
5,42,-0.14255634,-0.054380577,-0.12191547,0.008754517,-1.0,-0.1763065,0
5,43,-0.1547279,-0.05891509,-0.1307723,0.006175659,-1.0,-0.20351294,0
5,44,-0.16689947,-0.06415939,-0.140354,0.003394043,-1.0,-0.23559378,0
5,45,-0.17907104,-0.07017054,-0.1507289,0.0004095459,-1.0,-0.27346864,0
5,46,-0.19124262,-0.07702042,-0.1619704,0.002777832,-1.0,-0.31824857,0
5,47,-0.20341419,-0.08478467,-0.17415698,0.0061680907,-1.0,-0.37125495,0
5,48,-0.21558575,-0.09354303,-0.18737216,0.00976123,-1.0,-0.43405595,0
5,49,-0.22775732,-0.103383735,-0.20170482,0.013557129,-1.0,-0.5085171,0
5,50,-0.2399289,-0.11439429,-0.21724865,0.017555907,-1.0,-0.5968302,0
5,51,-0.25210047,-0.12666962,-0.23410207,0.02175757,-1.0,-0.7015803,0
5,52,-0.26427203,-0.14030531,-0.2523676,0.02616211,-1.0,-0.82578725,0
5,53,-0.2764436,-0.15539484,-0.2721508,0.03076953,-1.0,-0.97295177,0
5,54,-0.28861517,-0.17202514,-0.2935592,0.035579834,-1.0,-1.1470923,0
5,55,-0.30078673,-0.19027182,-0.3167001,0.040592894,-1.0,-1.3527685,0
5,56,-0.3129583,-0.21018782,-0.3416781,0.045808837,-1.0,-1.5950551,0
5,57,-0.3251299,-0.23180047,-0.3685922,0.051227663,-1.0,-1.8795134,0
5,58,-0.33730146,-0.25509658,-0.3975318,0.056849364,-1.0,-2.2120674,0
5,59,-0.34947303,-0.28000584,-0.42857188,0.06267395,-1.0,-2.5987854,0
5,60,-0.3616446,-0.30639145,-0.46176782,0.068701416,-1.0,-3.0456083,0
5,61,-0.37381616,-0.33403203,-0.4971495,0.074931644,-1.0,-3.5579293,0
5,62,-0.38598773,-0.36260897,-0.53471506,0.08136474,,-4.1400824,1
6,0,0.1664162,0.0,-0.0027777776,0.0,-0.026111109440000002,-7.6154356e-05,0
6,1,0.16648455,-0.11769672,0.020735458,0.0027747804,-0.3935702948,-0.14277254,0
6,2,0.1605841,-0.11319319,0.011854946,0.0054511717,-0.4545294576000001,-0.12952891,0
6,3,0.15316151,-0.1088161,0.0033138855,0.008003906,-0.5129299762999999,-0.11854985,0
6,4,0.14421459,-0.10453514,-0.0049316366,0.010407471,-0.56903308404,-0.109570146,0
6,5,0.13374864,-0.100332476,-0.012922759,0.012636596,-0.6231363146,-0.1023941,0
6,6,0.121771485,-0.09619214,-0.020698046,0.014666137,-0.6755223323999999,-0.09686506,0
6,7,0.10829097,-0.09209837,-0.028293792,0.016470946,-0.7264534948,-0.09285775,0
6,8,0.09331349,-0.08804355,-0.035744406,0.018026123,-0.7762151664,-0.09028915,0
6,9,0.076841734,-0.084021844,-0.043082807,0.019306762,-0.8250876058000001,-0.089102335,0
6,10,0.058873538,-0.0800268,-0.050340567,0.020287964,-0.8733353298000001,-0.08925997,0
6,11,0.039401334,-0.07605668,-0.05754817,0.020944702,-0.9212361980000001,-0.0907516,0
6,12,0.018410875,-0.07210593,-0.064735055,0.021251587,-0.969039167,-0.09357831,0
6,13,-0.0041185645,-0.068177685,-0.07193016,0.021182984,-1.0,-0.09777116,0
6,14,-0.02765703,-0.06447753,-0.07917278,0.020722046,-1.0,-0.10365417,0
6,15,-0.051195495,-0.06138491,-0.08652204,0.019868774,-1.0,-0.11176295,0
6,16,-0.074733965,-0.058915813,-0.09403765,0.01862317,-1.0,-0.12216185,0
6,17,-0.09827243,-0.057092972,-0.101780415,0.016985351,-1.0,-0.13498206,0
6,18,-0.1218109,-0.055940606,-0.1098126,0.0149552,-1.0,-0.15042101,0
6,19,-0.14534937,-0.055496585,-0.11819878,0.012532715,-1.0,-0.16876501,0
6,20,-0.16888784,-0.055803664,-0.12700611,0.009717896,-1.0,-0.19038989,0
6,21,-0.1924263,-0.05691438,-0.13630505,0.006510742,-1.0,-0.21578172,0
6,22,-0.21596476,-0.058891404,-0.14616984,0.002911377,-1.0,-0.24555649,0
6,23,-0.23950323,-0.06179914,-0.15667857,0.0010803223,-1.0,-0.28047273,0
6,24,-0.26304168,-0.06572027,-0.1679141,0.0054643555,-1.0,-0.3214814,0
6,25,-0.28658015,-0.07074624,-0.17996442,0.010240722,-1.0,-0.36975154,0
6,26,-0.3101186,-0.0769785,-0.1929229,0.015409424,-1.0,-0.42671487,0
