iter,avg_reward,avg_len,episodes,std,loss
516,2307.1836,2787.58,24,0.2416,22.2430
517,2466.7290,2899.27,22,0.2411,19.5999
518,2443.7069,2910.09,23,0.2407,21.2850
519,2475.2408,2903.20,25,0.2406,19.8243
520,2549.1521,3000.00,20,0.2404,22.2544
521,2566.2757,3000.00,20,0.2402,20.5309
522,2515.2874,2920.50,26,0.2403,20.2494
523,2617.2789,2921.30,20,0.2403,21.6323
524,2402.6968,2830.21,24,0.2398,21.8482
525,2368.1269,2819.26,23,0.2392,20.5301
526,2556.5046,3000.00,21,0.2390,22.7715
527,2392.1385,2826.33,24,0.2390,21.0486
528,2662.7786,3000.00,23,0.2390,21.0018
529,2318.2339,2764.38,21,0.2388,23.4246
530,2338.7700,2777.76,25,0.2385,19.5869
531,2668.5232,3000.00,22,0.2384,19.9211
532,2438.1891,2910.90,20,0.2381,21.7703
533,2594.7613,2952.08,25,0.2381,24.9622
534,2420.8037,2851.82,22,0.2381,19.8986
535,2350.1018,2738.57,23,0.2378,23.9369
536,2514.2349,2901.36,22,0.2374,24.7251
537,2474.4632,2781.62,24,0.2375,23.4040
538,2603.1864,3000.00,22,0.2375,23.0767
539,2472.2224,2928.00,20,0.2366,23.1369
540,2455.2109,2806.71,28,0.2361,21.1951
541,2478.4002,2920.91,23,0.2361,20.6995
542,2535.8510,3000.00,16,0.2360,22.1725
543,2524.4000,2891.30,27,0.2360,24.1471
544,2521.8463,2935.42,24,0.2357,23.8723
545,2531.7644,2852.89,19,0.2352,23.1884
546,2613.0767,2955.15,27,0.2346,25.0618
547,2714.8151,3000.00,20,0.2339,23.2145
548,2365.8882,2862.00,19,0.2335,23.2120
549,2460.4876,2916.04,27,0.2331,19.4344
550,2584.4658,2875.19,21,0.2331,22.3882
551,2452.6401,2906.72,18,0.2327,20.2700
552,2523.6608,2968.12,26,0.2321,21.0585
553,2382.6292,2972.00,21,0.2316,23.1343
554,2352.0125,2830.62,21,0.2312,23.4939
